catchment_id,catchment_name,total_rainfall,avg_rainfall,max_intensity,pixels_with_rain,total_pixels,rain_coverage
3880742,PUKEKOHE-TUTAENUI_STREAM,0,0.0,0,0,140,0.0
3880745,TAMAKI_NORTH,0,0.0,0,0,72,0.0
3880746,PT_CHEVALIER,0,0.0,0,0,13,0.0
3880747,POURAUREROA_STREAM,0,0.0,0,0,135,0.0
3880750,HILLCREST,0,0.0,0,0,34,0.0
3880751,HAURAKI,0,0.0,0,0,9,0.0
3880752,GREENHITHE,0,0.0,0,0,22,0.0
3880753,ESKDALE,0,0.0,0,0,30,0.0
3880754,DUCK_CREEK_1,0,0.0,0,0,22,0.0
3880755,DEVONPORT,0,0.0,0,0,16,0.0
3880756,DEEP_CREEK,0,0.0,0,0,25,0.0
3880757,CASTOR_BAY,0,0.0,0,0,8,0.0
3880758,CASSINO,0,0.0,0,0,15,0.0
3880759,CAMPBELLS_BAY,0,0.0,0,0,17,0.0
3880760,BELMONT,0,0.0,0,0,18,0.0
3880761,BAYVIEW,0,0.0,0,0,9,0.0
3880762,AWARUKU,0,0.0,0,0,25,0.0
3880763,ATTWOOD,0,0.0,0,0,54,0.0
3880764,ALBANY_WEST,0,0.0,0,0,24,0.0
3880768,WAIUKU_TOWN-AWAROA_RIVER,0,0.0,0,0,73,0.0
3880775,WAIHEKE,0,0.0,0,0,14,0.0
3880781,SURFDALE,0,0.0,0,0,18,0.0
3880783,RANGIHOUA,0,0.0,0,0,42,0.0
3880784,PUTIKI,0,0.0,0,0,18,0.0
3880785,PUTAKI,0,0.0,0,0,13,0.0
3880786,ONE_TREE_HILL,0,0.0,0,0,95,0.0
3880787,OMIHA,0,0.0,0,0,15,0.0
3880790,MOTIONS,0,0.0,0,0,42,0.0
